# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
3112        -29666080.9435 4.03034100e+03  5.10948101e+01       2401155838.33  3.68246544e+07  4.66846037e+05       +4.20888e+13   -0.012354916940  1.896380488438e-04
1556        -29666080.9435 4.92504438e+03  8.83140809e+01       2401155838.33  3.68020434e+07  6.59920681e+05       +5.30570e+13   -0.012354916940  1.897579460078e-04
778         -29666080.9435 6.11263028e+03  1.55061015e+02       2401155838.33  3.67558275e+07  9.32396634e+05       +5.26312e+13   -0.012354916940  1.899056073762e-04
389         -29666080.9435 7.81164990e+03  2.80421889e+02       2401155838.33  3.66562007e+07  1.31588092e+06       +4.91899e+13   -0.012354916940  1.900700503712e-04
194         -29665900.6811 9.72992492e+03  4.95240139e+02       2401242071.62  3.65558937e+07  1.86064600e+06       +4.70181e+13   -0.012354398181  1.908642588493e-04
97          -29665900.6811 1.20631821e+04  8.70585181e+02       2401242071.62  3.63637558e+07  2.62432802e+06       +3.78201e+13   -0.012354398181  1.915707238618e-04
48          -29665018.1904 1.32611950e+04  1.36778783e+03       2401602209.47  3.67277193e+07  3.78817500e+06       +2.09736e+13   -0.012352178089  1.938710709834e-04
24          -29665018.1904 1.36287496e+04  2.00944950e+03       2401602209.47  3.66717682e+07  5.40695723e+06       +1.05539e+13   -0.012352178089  1.936260208023e-04
12          -29665018.1904 1.50149897e+04  3.20120656e+03       2401602209.47  3.67907650e+07  7.84381746e+06       +5.74393e+12   -0.012352178089  1.946685914448e-04
6           -29665018.1904 1.57138800e+04  4.96916516e+03       2401602209.47  3.67461785e+07  1.16201619e+07       +3.08953e+12   -0.012352178089  1.948542043097e-04
3           -29665018.1904 2.04381744e+04  1.02190872e+04       2401602209.47  3.64854389e+07  1.82427195e+07       +2.17163e+12   -0.012352178089  1.959277048469e-04
