# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
6904        -14559022.7695 4.87221898e+03  4.14660689e+01       32100599.8762  9.61561832e+05  8.18357905e+03       -4.52423e+11   -0.453543635496  1.358445994582e-02
3452        -14559022.7695 5.04079638e+03  6.06752644e+01       32100599.8762  9.61559190e+05  1.15741350e+04       +1.45827e+10   -0.453543635496  1.358674220026e-02
1726        -14559022.7695 5.20067152e+03  8.85421120e+01       32100599.8762  9.61552887e+05  1.63705635e+04       +1.02491e+11   -0.453543635496  1.358849830019e-02
863         -14559022.7695 5.30483899e+03  1.27762551e+02       32100599.8762  9.61516566e+05  2.31573117e+04       +1.03662e+11   -0.453543635496  1.358999158904e-02
431         -14559021.3254 5.40587959e+03  1.84338964e+02       32101686.9225  9.62595335e+05  3.28242285e+04       -1.12342e+10   -0.453528232349  1.359961405108e-02
215         -14559262.8017 5.37320791e+03  2.59723808e+02       32104032.4189  9.64767532e+05  4.66337989e+04       -4.07537e+10   -0.453502619601  1.362324479360e-02
107         -14558974.3566 5.84233962e+03  4.01253533e+02       32108652.7927  9.69128049e+05  6.65599877e+04       -4.77470e+10   -0.453428378033  1.367258692666e-02
53          -14558326.2650 5.87369270e+03  5.75962956e+02       32118050.2461  9.78123973e+05  9.59129466e+04       -1.24102e+10   -0.453275530533  1.379782181455e-02
26          -14558036.7034 5.11567083e+03  7.23465107e+02       32136916.5755  9.97251120e+05  1.41032606e+05       +1.96169e+10   -0.453000419913  1.408162587459e-02
13          -14558036.7034 4.81543640e+03  9.82946840e+02       32136916.5755  9.97686019e+05  2.03651806e+05       +9.49577e+09   -0.453000419913  1.408689417863e-02
6           -14557398.8374 5.92780737e+03  1.87453728e+03       32220898.0835  1.08046084e+06  3.41671716e+05       -1.11863e+09   -0.451799909476  1.514593184435e-02
3           -14557398.8374 5.57446615e+03  2.78723307e+03       32220898.0835  1.08014666e+06  5.40073328e+05       +1.47398e+10   -0.451799909476  1.528726460722e-02
