# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
13313       -43384297.0574 3.63857779e+03  2.22994942e+01       1455687712.11  2.29027045e+07  1.40362184e+05       -2.92120e+12   -0.029803299634  4.689029629515e-04
6656        -43384276.0680 4.06314029e+03  3.52186569e+01       1455689370.56  2.29043151e+07  1.98530978e+05       -3.00578e+12   -0.029803251261  4.689293243551e-04
3328        -43384276.0680 4.65684791e+03  5.70887660e+01       1455689370.56  2.29038078e+07  2.80780079e+05       -9.40483e+11   -0.029803251261  4.689266125144e-04
1664        -43384276.0680 5.30993061e+03  9.20720311e+01       1455689370.56  2.29029458e+07  3.97127739e+05       -8.20478e+11   -0.029803251261  4.689059270236e-04
832         -43384276.0680 5.82235368e+03  1.42818042e+02       1455689370.56  2.29022754e+07  5.61775925e+05       +9.80075e+11   -0.029803251261  4.689451925497e-04
416         -43384276.0680 6.14168130e+03  2.13180870e+02       1455689370.56  2.29020945e+07  7.94943306e+05       +4.72567e+11   -0.029803251261  4.689421518150e-04
208         -43384276.0680 6.26917092e+03  3.08112941e+02       1455689370.56  2.28999767e+07  1.12547245e+06       +9.61220e+11   -0.029803251261  4.690041227135e-04
104         -43384276.0680 6.44610606e+03  4.49121491e+02       1455689370.56  2.28926645e+07  1.59500751e+06       +3.04415e+12   -0.029803251261  4.695944389892e-04
52          -43384276.0680 7.19825992e+03  7.12733938e+02       1455689370.56  2.29036075e+07  2.26779507e+06       +2.18572e+12   -0.029803251261  4.702051076364e-04
26          -43384276.0680 6.95580651e+03  9.83699590e+02       1455689370.56  2.29208679e+07  3.24150022e+06       +1.58488e+11   -0.029803251261  4.694804339389e-04
13          -43384276.0680 7.40362997e+03  1.51125964e+03       1455689370.56  2.29252667e+07  4.67960047e+06       -6.93225e+11   -0.029803251261  4.677905449774e-04
6           -43382407.1208 6.87146822e+03  2.17294904e+03       1457602184.64  2.47959639e+07  7.84117227e+06       -8.25079e+10   -0.029762858191  5.059514802941e-04
3           -43382407.1208 5.08098117e+03  2.54049059e+03       1457602184.64  2.48068974e+07  1.24034487e+07       +2.19418e+11   -0.029762858191  5.085640473466e-04
