# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
1906        -15847999.2269 1.44618169e+04  2.34293571e+02       11948290.7374  1.20015868e+06  1.94435778e+04       -7.91468e+11   -1.326382122367  1.332063911358e-01
953         -15847999.2269 1.44747181e+04  3.31723807e+02       11948290.7374  1.20017309e+06  2.75049217e+04       -2.57705e+11   -1.326382122367  1.332181021658e-01
476         -15848204.7191 1.47560980e+04  4.78751039e+02       11949531.8948  1.20143827e+06  3.89798046e+04       -3.12863e+11   -1.326261552217  1.333058545300e-01
238         -15848204.7191 1.48123773e+04  6.80355023e+02       11949531.8948  1.20144966e+06  5.51844104e+04       -1.06609e+11   -1.326261552217  1.333217476280e-01
119         -15848204.7191 1.47447057e+04  9.59798591e+02       11949531.8948  1.20152410e+06  7.82125570e+04       -1.16347e+11   -1.326261552217  1.332930483513e-01
59          -15846847.7172 1.66458912e+04  1.54553220e+03       11959714.6025  1.21171991e+06  1.12505369e+05       -8.56503e+10   -1.325018885815  1.341536712183e-01
29          -15848113.8574 1.52825111e+04  2.04221145e+03       11980577.5144  1.23269420e+06  1.64725691e+05       +7.57734e+10   -1.322817187924  1.362888279403e-01
14          -15852843.0192 1.78692514e+04  3.50444853e+03       12024574.4421  1.27644594e+06  2.50331645e+05       +9.50108e+10   -1.318370400173  1.403984362906e-01
7           -15852843.0192 1.60290081e+04  4.62717606e+03       12024574.4421  1.27696004e+06  3.68626612e+05       +4.48160e+10   -1.318370400173  1.404281423928e-01
3           -15861385.1812 2.42058064e+04  1.21029032e+04       12237931.9319  1.48964694e+06  7.44823471e+05       +8.86629e+10   -1.296083788457  1.593893772289e-01
