# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
6950        -27889873.4531 7.17908078e+03  6.08965496e+01       85602838.4954  2.54234559e+06  2.15654454e+04       -1.62064e+12   -0.325805474951  9.675491091228e-03
3475        -27889873.4531 7.84000973e+03  9.40560415e+01       85602838.4954  2.54233666e+06  3.05002329e+04       +2.18178e+11   -0.325805474951  9.676887056799e-03
1737        -27889973.0974 8.78935302e+03  1.49165040e+02       85603597.1465  2.54304755e+06  4.31583290e+04       +8.73830e+11   -0.325803751560  9.681588902152e-03
868         -27890015.8119 9.79405877e+03  2.35200456e+02       85605161.9329  2.54452069e+06  6.11056601e+04       +1.11125e+12   -0.325798295129  9.690552357456e-03
434         -27890015.8119 1.06767607e+04  3.62811099e+02       85605161.9329  2.54455669e+06  8.64675562e+04       +6.43202e+11   -0.325798295128  9.691742196606e-03
217         -27890015.8119 1.13389275e+04  5.45544406e+02       85605161.9329  2.54415617e+06  1.22405771e+05       +3.65426e+11   -0.325798295128  9.691248236873e-03
108         -27890313.3265 1.11451174e+04  7.61864540e+02       85616586.2406  2.55563320e+06  1.74699489e+05       +3.45722e+11   -0.325758296975  9.739290904076e-03
54          -27890313.3265 1.13142302e+04  1.09893519e+03       85616586.2406  2.55569052e+06  2.48230607e+05       +3.44411e+11   -0.325758296975  9.754020195453e-03
27          -27890313.3265 1.16175108e+04  1.61105888e+03       85616586.2406  2.55596802e+06  3.54448991e+05       +1.24233e+11   -0.325758296975  9.747023840958e-03
13          -27892003.6461 1.09069411e+04  2.22637002e+03       85715522.0981  2.65470878e+06  5.41890161e+05       +3.26102e+09   -0.325402015451  1.007998200834e-02
6           -27895162.2846 8.43415474e+03  2.66711391e+03       85936255.8352  2.87694095e+06  9.09768610e+05       -4.54876e+10   -0.324602951495  1.083666953471e-02
3           -27895162.2846 3.80945275e+03  1.90472637e+03       85936255.8352  2.87828035e+06  1.43914018e+06       +3.12652e+10   -0.324602951495  1.091413458494e-02
