# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
14354       -24560736.7640 2.32000866e+03  1.36931468e+01       304798959.257  1.05677911e+06  6.23731788e+03       -3.17274e+11   -0.080580120168  2.794172086850e-04
7177        -24560736.7640 2.65030629e+03  2.21227878e+01       304798959.257  1.05680940e+06  8.82145967e+03       -1.92936e+11   -0.080580120168  2.794420005543e-04
3588        -24560712.4048 3.07126676e+03  3.62607559e+01       304799157.600  1.05700640e+06  1.24794927e+04       -2.77956e+11   -0.080579987813  2.793828054272e-04
1794        -24560712.4048 3.41797555e+03  5.70773511e+01       304799157.600  1.05700075e+06  1.76510341e+04       +1.04968e+11   -0.080579987813  2.798464239288e-04
897         -24560712.4048 3.58066686e+03  8.45853039e+01       304799157.600  1.05683420e+06  2.49653613e+04       +1.36379e+11   -0.080579987813  2.801141121410e-04
448         -24560830.4795 3.69964614e+03  1.23734677e+02       304800941.829  1.05834286e+06  3.53962801e+04       +1.04029e+11   -0.080579903501  2.807743807071e-04
224         -24560830.4795 3.75685380e+03  1.77892183e+02       304800941.829  1.05833044e+06  5.01133988e+04       +1.19773e+11   -0.080579903501  2.817121586365e-04
112         -24560830.4795 3.62796016e+03  2.43492743e+02       304800941.829  1.05775240e+06  7.09916930e+04       +3.75175e+10   -0.080579903501  2.809262321579e-04
56          -24560830.4795 3.75384816e+03  3.57915379e+02       304800941.829  1.05621741e+06  1.00706379e+05       +2.91195e+10   -0.080579903501  2.811115511042e-04
28          -24560830.4795 3.75324286e+03  5.10751661e+02       304800941.829  1.05697594e+06  1.43836208e+05       +1.16330e+09   -0.080579903501  2.798316044681e-04
14          -24560830.4795 3.05429539e+03  5.98996607e+02       304800941.829  1.05529752e+06  2.06960872e+05       +2.90817e+10   -0.080579903501  2.855487510937e-04
7           -24560830.4795 1.81983530e+03  5.25341201e+02       304800941.829  1.06038309e+06  3.06106231e+05       +2.45702e+09   -0.080579903501  2.814795966586e-04
3           -24559717.5375 2.21422080e+03  1.10711040e+03       304970138.523  1.23667845e+06  6.18339226e+05       -2.45239e+09   -0.080531548618  3.244684308326e-04
