# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
3690        -7392280.11287 4.63559851e+03  5.39680206e+01       16347837.0477  2.18677028e+05  2.54585601e+03       +1.54125e+10   -0.452187044151  6.056495072609e-03
1845        -7392280.11287 4.74898928e+03  7.81998164e+01       16347837.0477  2.18674748e+05  3.60083465e+03       +6.67334e+10   -0.452187044151  6.065691655569e-03
922         -7392412.69712 4.93363538e+03  1.14953510e+02       16347966.5638  2.18790268e+05  5.09780464e+03       +2.90986e+10   -0.452191571856  6.068156418131e-03
461         -7392412.69712 5.11705424e+03  1.68704282e+02       16347966.5638  2.18810602e+05  7.21397193e+03       +9.24298e+08   -0.452191571856  6.061040679895e-03
230         -7392384.14162 5.28927612e+03  2.47151642e+02       16348450.4893  2.19338913e+05  1.02490343e+04       +1.58954e+10   -0.452176439990  6.094459512889e-03
115         -7392384.14162 5.18834735e+03  3.43606697e+02       16348450.4893  2.19452114e+05  1.45335713e+04       -5.66094e+09   -0.452176439990  6.064327773470e-03
57          -7392038.99202 4.88386461e+03  4.61481828e+02       16350274.1605  2.21260062e+05  2.09071106e+04       -4.17046e+09   -0.452104895580  6.105162201281e-03
28          -7392462.76179 4.95257203e+03  6.73959688e+02       16354288.6092  2.25229212e+05  3.06498136e+04       -2.38815e+09   -0.452019830299  6.209350938979e-03
14          -7392462.76179 4.89171100e+03  9.59343455e+02       16354288.6092  2.24923863e+05  4.41111987e+04       +1.48756e+09   -0.452019830299  6.252697804405e-03
7           -7392462.76179 4.40415994e+03  1.27137146e+03       16354288.6092  2.24704591e+05  6.48666282e+04       +1.29501e+09   -0.452019830299  6.266588893156e-03
3           -7393637.99254 5.16075593e+03  2.58037796e+03       16391232.1119  2.61978139e+05  1.30989070e+05       +4.05568e+09   -0.451072740722  7.524238950168e-03
