# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
5107        -6165330.06532 2.37913375e+03  2.35430895e+01       108573728.035  1.05277375e+06  1.04178870e+04       +2.63888e+09   -0.056784732153  5.510475633038e-04
2553        -6165326.67048 2.52799596e+03  3.53851502e+01       108573924.536  1.05298175e+06  1.47389149e+04       +6.61251e+10   -0.056784598114  5.514319697819e-04
1276        -6165237.77557 2.66436665e+03  5.27623218e+01       108574257.875  1.05336773e+06  2.08597894e+04       -4.31839e+10   -0.056783605030  5.511547995691e-04
638         -6165237.77558 2.82278740e+03  7.90848794e+01       108574257.875  1.05341749e+06  2.95131668e+04       -6.35252e+10   -0.056783605030  5.506730757482e-04
319         -6165237.77557 2.93044322e+03  1.16199632e+02       108574257.875  1.05350881e+06  4.17743417e+04       -2.27413e+10   -0.056783605030  5.510158324133e-04
159         -6165000.16442 3.06877730e+03  1.72632210e+02       108577561.519  1.05693587e+06  5.94572877e+04       -5.21855e+09   -0.056779688899  5.531518574521e-04
79          -6164568.09613 3.23592626e+03  2.59081449e+02       108585280.943  1.06460316e+06  8.52364689e+04       +1.97413e+10   -0.056771673312  5.595583852431e-04
39          -6164373.12878 3.37213812e+03  3.86810771e+02       108598858.316  1.07893526e+06  1.23762362e+05       -1.81891e+10   -0.056762780239  5.608069184401e-04
19          -6164460.90039 3.49087395e+03  5.81812325e+02       108627127.033  1.10634172e+06  1.84390287e+05       -1.83733e+10   -0.056748816514  5.707754552754e-04
9           -6164875.91482 2.78751946e+03  6.96879864e+02       108689466.427  1.16494541e+06  2.91236353e+05       -6.96869e+09   -0.056720086293  6.023319056612e-04
4           -6163900.97099 2.13368181e+03  8.71071952e+02       108824139.424  1.31000333e+06  5.34806621e+05       +4.72829e+09   -0.056640934664  6.903527264535e-04
2           -6163900.97099 3.61300421e+03  2.55477977e+03       108824139.424  1.31283169e+06  9.28312190e+05       +9.48653e+09   -0.056640934664  7.165047990763e-04
