# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
42145       -14633014.6075 6.28415109e+02  2.16453067e+00       1184277919.27  1.40827668e+06  4.85070780e+03       +3.13891e+09   -0.012356064712  1.470276026319e-05
21072       -14633020.2940 7.21859494e+02  3.51637433e+00       1184278000.92  1.40828718e+06  6.86015067e+03       -8.50882e+10   -0.012356068662  1.470346861371e-05
10536       -14633020.2940 8.40189945e+02  5.78822243e+00       1184278000.92  1.40830902e+06  9.70209881e+03       -2.75275e+10   -0.012356068662  1.470903086663e-05
5268        -14633020.2940 9.68567172e+02  9.43698116e+00       1184278000.92  1.40824970e+06  1.37209130e+04       +3.31244e+10   -0.012356068662  1.471936786424e-05
2634        -14633020.2940 1.06711462e+03  1.47051900e+01       1184278000.92  1.40790391e+06  1.94013785e+04       -1.94195e+10   -0.012356068662  1.471244807936e-05
1317        -14633020.2940 1.13877227e+03  2.21969826e+01       1184278000.92  1.40755006e+06  2.74360071e+04       +2.73933e+10   -0.012356068662  1.472945270372e-05
658         -14633025.4684 1.19764599e+03  3.30392957e+01       1184278668.16  1.40721308e+06  3.88205944e+04       +5.21008e+10   -0.012356066069  1.476414335377e-05
329         -14633025.4684 1.17969636e+03  4.60594044e+01       1184278668.16  1.40722127e+06  5.49427597e+04       +1.25321e+10   -0.012356066069  1.473865756655e-05
164         -14632968.8567 1.21860242e+03  6.74921457e+01       1184286118.22  1.41391089e+06  7.83092813e+04       +5.85106e+08   -0.012355940538  1.478963969450e-05
82          -14632968.8567 1.17686406e+03  9.24631733e+01       1184286118.22  1.40824983e+06  1.10642556e+05       +2.24759e+09   -0.012355940538  1.474256305109e-05
41          -14632968.8567 1.21806145e+03  1.36183410e+02       1184286118.22  1.40445859e+06  1.57023244e+05       +3.72896e+09   -0.012355940538  1.474355109240e-05
20          -14632770.7644 1.19876322e+03  1.94465072e+02       1184328659.41  1.43408378e+06  2.32639108e+05       -8.82995e+08   -0.012355329450  1.496910527903e-05
10          -14632770.7644 1.38600186e+03  3.26683771e+02       1184328659.41  1.44072674e+06  3.39582550e+05       +7.85386e+08   -0.012355329450  1.512147565062e-05
5           -14632770.7644 1.33627066e+03  4.72443023e+02       1184328659.41  1.44409178e+06  5.10563544e+05       +2.54511e+09   -0.012355329450  1.540139529429e-05
2           -14633169.3750 2.56238958e+03  1.81188304e+03       1184698506.02  1.76443779e+06  1.24764592e+06       +9.04235e+09   -0.012351808752  2.055914440431e-05
