# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
13016       -22350529.9980 2.51316418e+03  1.55769984e+01       674710322.871  2.57977077e+06  1.59898369e+04       +7.59590e+11   -0.033126112408  1.267467361247e-04
6508        -22350529.9980 2.81117380e+03  2.46423599e+01       674710322.871  2.57967447e+06  2.26130688e+04       +1.37106e+12   -0.033126112408  1.268431709008e-04
3254        -22350529.9980 3.20436799e+03  3.97269621e+01       674710322.871  2.57959193e+06  3.19811429e+04       +6.69827e+11   -0.033126112408  1.268568361591e-04
1627        -22350529.9980 3.67074458e+03  6.43693165e+01       674710322.871  2.57965688e+06  4.52362583e+04       +3.08257e+11   -0.033126112408  1.268783806757e-04
813         -22350436.6961 4.04922037e+03  1.00479716e+02       674712281.779  2.58161986e+06  6.40618212e+04       +6.03949e+10   -0.033125877948  1.269325824839e-04
406         -22350512.9466 4.48415967e+03  1.57557311e+02       674716219.403  2.58521336e+06  9.08351384e+04       -3.49904e+10   -0.033125797637  1.270478970975e-04
203         -22350512.9466 4.54201214e+03  2.25973550e+02       674716219.403  2.58611513e+06  1.28664036e+05       -1.07211e+11   -0.033125797637  1.268433635610e-04
101         -22351024.5359 4.63177709e+03  3.27516099e+02       674731848.436  2.60393710e+06  1.84126158e+05       -1.76620e+11   -0.033125788545  1.270260381564e-04
50          -22350433.0981 4.67369841e+03  4.72114834e+02       674751237.662  2.63379328e+06  2.66053298e+05       -1.62530e+11   -0.033123960136  1.276404099030e-04
25          -22350433.0981 4.22579022e+03  6.09940280e+02       674751237.662  2.63518401e+06  3.80356050e+05       -1.18205e+11   -0.033123960136  1.268304988588e-04
12          -22351483.9383 4.40697184e+03  9.39569554e+02       674854407.889  2.74241917e+06  5.84685732e+05       -5.96960e+10   -0.033120453356  1.320384899469e-04
6           -22351483.9383 4.20287765e+03  1.32906661e+03       674854407.889  2.74616828e+06  8.68414661e+05       -5.22127e+10   -0.033120453356  1.301449939630e-04
3           -22351483.9383 4.49372404e+03  2.24686202e+03       674854407.889  2.73082143e+06  1.36541072e+06       -1.96302e+10   -0.033120453356  1.305940054854e-04
