# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
7326        -14227763.3680 5.13080086e+03  4.23902860e+01       43746880.5846  2.96040345e+05  2.44586279e+03       -1.74011e+11   -0.325229208982  2.202155341827e-03
3663        -14227763.3680 5.38396043e+03  6.29111598e+01       43746880.5846  2.96053953e+05  3.45936746e+03       -1.40647e+11   -0.325229208982  2.201442055134e-03
1831        -14227757.7525 5.72689157e+03  9.46625976e+01       43746912.5357  2.96164496e+05  4.89544810e+03       -6.68927e+10   -0.325228843085  2.202855323679e-03
915         -14227790.1616 6.08918553e+03  1.42420043e+02       43747059.4510  2.96317674e+05  6.93057806e+03       -4.65920e+09   -0.325228491700  2.206913565169e-03
457         -14227674.8074 6.44043991e+03  2.13264276e+02       43747371.6727  2.96594059e+05  9.82121069e+03       +1.49346e+10   -0.325223533743  2.212338927990e-03
228         -14228205.2154 6.49234652e+03  3.04700920e+02       43747961.7071  2.96875583e+05  1.39330615e+04       +3.83585e+10   -0.325231271589  2.224904417370e-03
114         -14228205.2154 6.55869286e+03  4.36277760e+02       43747961.7071  2.97029226e+05  1.97580902e+04       -1.43315e+09   -0.325231271589  2.212293834969e-03
57          -14228205.2154 6.53493371e+03  6.17493194e+02       43747961.7071  2.96557166e+05  2.80220182e+04       +1.64908e+10   -0.325231271589  2.231859047253e-03
28          -14227778.3363 7.55567733e+03  1.02819745e+03       43753625.4203  3.01424553e+05  4.10186861e+04       +1.48162e+10   -0.325179415412  2.286503905485e-03
14          -14227778.3363 7.45380974e+03  1.46181236e+03       43753625.4203  3.00542504e+05  5.89412343e+04       -7.06460e+08   -0.325179415412  2.236306421862e-03
7           -14227778.3363 6.76310342e+03  1.95233979e+03       43753625.4203  2.99804251e+05  8.65460324e+04       +8.03164e+09   -0.325179415412  2.319135457615e-03
3           -14224083.2521 9.02026241e+03  4.51013121e+03       43805151.7294  3.52312352e+05  1.76156176e+05       +9.03393e+09   -0.324712566685  2.807462127763e-03
