# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
2175        -8101133.49713 9.53962852e+03  1.44672736e+02       5778345.03289  1.44199427e+05  2.18684885e+03       -4.22613e+10   -1.401981614289  3.500228040196e-02
1087        -8101545.10367 9.71738554e+03  2.08506464e+02       5778406.64081  1.44138768e+05  3.09279329e+03       +1.58299e+10   -1.402037898553  3.503083372218e-02
543         -8101677.28156 9.61633170e+03  2.92075275e+02       5778534.49485  1.44021243e+05  4.37433373e+03       +3.03884e+10   -1.402029751451  3.505018282002e-02
271         -8101534.78314 9.36602726e+03  4.03049640e+02       5778807.27272  1.43806957e+05  6.18846610e+03       +5.55833e+09   -1.401938912445  3.494984676122e-02
135         -8101420.25326 9.26613465e+03  5.66019261e+02       5779355.14442  1.44215895e+05  8.80938790e+03       +3.06378e+10   -1.401786194275  3.528733640470e-02
67          -8100008.57639 9.35172325e+03  8.13963031e+02       5780526.51909  1.45315147e+05  1.26480601e+04       +8.41810e+09   -1.401257921685  3.541209032151e-02
33          -8101165.77437 7.71769902e+03  9.64712377e+02       5782837.00594  1.47680664e+05  1.84600829e+04       +2.94862e+09   -1.400898169195  3.590507700725e-02
16          -8101787.29220 7.66432598e+03  1.39930808e+03       5787547.02745  1.52153477e+05  2.77792972e+04       +7.01829e+09   -1.399865479066  3.732048691211e-02
8           -8101787.29220 5.11114038e+03  1.36600973e+03       5787547.02745  1.52064581e+05  4.06409687e+04       +3.08074e+08   -1.399865479066  3.683500588392e-02
4           -8101787.29220 6.02597879e+03  2.46009554e+03       5787547.02745  1.52150177e+05  6.21150495e+04       +3.07283e+09   -1.399865479066  3.767807079473e-02
2           -8101787.29220 5.69757090e+03  4.02879102e+03       5787547.02745  1.52418085e+05  1.07775862e+05       +1.73683e+09   -1.399865479066  3.785064479175e-02
